fid,Longitude,Latitude,ID_SEC_COR,NAME_SEC,DEPARTEMENT,COMMUNE,ARRONDISSEMENT,AIRE_KM2,PC_AGL2010,PLUV_MIN,PLUV_MAX,ALT_MIN,ALT_MAX,POPES2021,Log_Popes2021,DANSI2021,Log_dansi2021,DEPATMAN,KOMIN,SEKSYON,AWONDISMAN,PC0_12,PC12_30,PC30_60,PC_60plus,PC_POV,Elvaj_Venal,Log_Elvaj_Venal,Venal_tet,log_Venal_tet,Elvaj_Dominant,PC_3kmSant,PC_3kmLekol,Log_PC_3kmLekol,Pente_Moy,Rejyon_Kr,Lapli_mm,Log_Lapli,LANME,FWONTYE,Risk_Ewo,Dans_wout,log_Dans_wout,km.res$cluster,cluster
1,-73.83257485,18.16446887,712-01,1ère Boury,Sud,Torbeck,Cayes,42.4953,91,4,5,0,40,28606,4.46,673,2.83,Sid,Tòbèk,1e Bouri,Okay,99.8,0.2,0,0,49,579181,5.76,20.25,1.31,Bovin,1,0,-1,1.04,Gran Sid,2400,3.380211242,1,0,0,1.435,0.1569,4,4
2,-72.42366601,19.60035008,361-08,8ème Ilot à Cornes,Nord,Limbé,Limbé,25.4538,37,4,5,110,850,4530,3.66,178,2.25,Nò,Lenbe,8e Ilowakòn,Lenbe,2.7,66.7,30.7,0,73,377293,5.58,83.29,1.92,Bovin,47,11,1.04,28.02,Gran Nòdès,2303,3.362293938,0,0,98,0.302,-0.52,3,3
3,-73.38633979,18.42336429,1024-03,3 ème Arnaud,Nippes,Arnaud,Anse à Veau,21.1222,49,3,4,70,440,5467,3.74,259,2.41,Nip,Ano,3e Ano,Ansavo,24.1,55.3,20.6,0,54,238280,5.38,43.59,1.64,Bovin,25,0,-1,22.84,Gran Sid,1272,3.104487111,0,0,86,0.142,-0.8477,3,3
4,-73.40261236,18.47252237,1024-01,1ère Baconnois-Barreau,Nippes,Arnaud,Anse à Veau,34.2099,56,3,3,20,630,8561,3.93,250,2.4,Nip,Ano,1e Bakonwa-Bawo,Ansavo,22.2,53.1,24.7,0,59,308414,5.49,36.03,1.56,Bovin,36,0,-1,23.82,Gran Sid,1200,3.079181246,0,0,57,0.146,-0.8356,4,4
5,-73.3558558,18.43497737,1024-02,2ème Baquet,Nippes,Arnaud,Anse à Veau,18.7411,62,3,4,40,510,4231,3.63,226,2.35,Nip,Ano,2e Bakè,Ansavo,38.8,39.8,21.4,0,63,377326,5.58,89.18,1.95,Bovin,62,0,-1,20.43,Gran Sid,1222,3.087071206,0,0,75,0.459,-0.3382,3,3
6,-73.93862707,18.33193015,712-04,4ème Moreau,Sud,Torbeck,Cayes,44.3588,53,5,7,160,1860,9312,3.97,210,2.32,Sid,Tòbèk,4e Mowo,Okay,13.6,22.6,42.3,21.6,72,763242,5.88,81.96,1.91,Bovin,70,29,1.46,41.85,Gran Sid,3244,3.511080846,0,0,75,0.156,-0.8069,3,3
7,-72.25609992,19.60047174,322-03,3ème Grand Boucan N,Nord,Plaine du Nord,Acul du Nord,22.3564,72,4,5,40,730,8190,3.91,366,2.56,Nò,Plèndinò,3e Gran Boukan,Akildinò,40.8,52.7,6.6,0,58,234704,5.37,28.66,1.46,Bovin,3,0,-1,15.31,Gran Nòdès,1878,3.273695588,0,0,58,0.634,-0.1979,4,4
8,-72.25008076,19.65067634,322-04,4ème Bassin Diamant,Nord,Plaine du Nord,Acul du Nord,6.0688,99,4,4,10,40,1735,3.24,286,2.46,Nò,Plèndinò,4e Basen Dyaman,Akildinò,99.8,0,0,0,66,112221,5.05,64.68,1.81,Bovin,35,0,-1,1.35,Gran Nòdès,1700,3.230448921,0,0,0,0.89,-0.0506,4,4
9,-73.85533475,18.20812512,712-02,2ème Bérault,Sud,Torbeck,Cayes,48.7322,81,5,5,30,110,23077,4.36,474,2.68,Sid,Tòbèk,2e Bero,Okay,100,0,0,0,51,519751,5.72,22.52,1.35,Bovin,15,4,0.6,1.4,Gran Sid,2400,3.380211242,0,0,0,1.979,0.2964,4,4
10,-73.11175388,19.86392105,934-02,2ème Guinaudée,Nord Ouest,Jean Rabel,Môle Saint Nicolas,104.7568,49,1,3,0,660,36940,4.57,353,2.55,Nòdwès,Jan Rabèl,2e Ginode,Mòl Sen Nikol,64.3,35,0.8,0,58,1645838,6.22,44.55,1.65,Caprin,29,1,0,11.7,Gran Nòdwès,687,2.836956737,1,0,48,0.577,-0.2388,4,4
